name,vendor,part#,quantity,link,comment
sma_adapter,amazon,,2,https://www.amazon.com/BOOBRIE-Coaxial-Adapter-Connector-Antennas/dp/B07DC2374L/ref=sr_1_4?dchild=1&keywords=coax+sma+male+to+sma+male+right+angle&qid=1627004386&sr=8-4,,
usb_extension,amazon,3.3FT+6.6FT,4,https://www.amazon.com/AINOPE-Extension-MATERIAL-Transfer-Compatible/dp/B08N63Z8M5/ref=sr_1_3?dchild=1&keywords=usb%2B3%2Bextension%2Bbraided&qid=1627005095&s=electronics&sr=1-3&th=1,,
usb_extension,amazon,10FT+10FT,2,https://www.amazon.com/AINOPE-Extension-MATERIAL-Transfer-Compatible/dp/B086SZYG46/ref=sr_1_3?dchild=1&keywords=usb%2B3%2Bextension%2Bbraided&qid=1627005095&s=electronics&sr=1-3&th=1,,
usb_B2A,amazon,,2,https://www.amazon.com/Printer-Braided-Scanner-Compatible-Brother/dp/B089NNFFMV/ref=sr_1_11?dchild=1&keywords=usb+b+to+usb+a+braided&qid=1627006125&s=electronics&sr=1-11,,
power_strip,amazon,8A5U,1,https://www.amazon.com/ORICO-Protector-Workbench-Nightstand-Certified/dp/B071HTR3KW/ref=sr_1_3?dchild=1&keywords=orico+power+plug&qid=1627005250&s=electronics&sr=1-3,,
wireless_mouse,amazon,Mouse,1,https://www.amazon.com/Logitech-Master-Advanced-Wireless-Mouse/dp/B07S395RWD/ref=sr_1_3?dchild=1&keywords=logitech%2Bmx%2Bmaster&qid=1627005418&s=electronics&sr=1-3&th=1,,
wireless_keyboard,amazon,"Without Mouse",1,https://www.amazon.com/Microsoft-Ergonomic-Keyboard-Business-5KV-00001/dp/B00CYX26BC/ref=sr_1_2?dchild=1&keywords=microsoft+sculpt&qid=1627005842&s=electronics&sr=1-2,,
